,security_id,quantity,open_datetime,open_average_price,close_datetime,close_average_price,drc,dr
0,52813,0.9591409258150083,2010-03-31,8.02,2010-04-30,8.99,,0.2640800378715113
1,72486,0.33042565300742877,2010-03-31,23.28,2010-04-30,25.68,,0.13729480280634834
2,77862,0.2879937022042285,2010-03-31,26.71,2010-04-30,27.36,,0.14254663324270492
3,84255,1.0713519253855386,2010-03-31,7.18,2010-04-30,8.33,,0.38282992434855706
4,85314,1.4652020624303235,2010-03-31,5.25,2010-04-30,5.52,,0.6054454431836638
5,85631,0.26182135017086466,2010-03-31,29.38,2010-04-30,33.99,,0.45660881174899864
6,86878,0.9380863523573203,2010-03-31,8.2,2010-04-30,7.75,,0.20192237409546088
7,87184,0.2628052329324509,2010-03-31,29.27,2010-04-30,29.87,,0.6324813771682767
8,87255,0.4490547067088163,2010-03-31,17.13,2010-04-30,17.52,,0.34267315322289765
9,90215,0.10332180086268872,2010-03-31,74.45,2010-04-30,85.6,,0.49174192307281256
10,92182,0.6014311400797887,2010-03-31,12.79,2010-04-30,13.69,,0.5774731407841496
11,92203,0.1854461620251094,2010-03-31,41.48,2010-04-30,37.62,,0.15777478084962912
12,92214,1.1068070095584892,2010-03-31,6.95,2010-04-30,6.76,,0.7159183977365796
13,52813,0.9020551071972772,2010-04-30,8.99,2010-05-28,9.18,,0.2640800378715113
14,72486,0.31578951043075265,2010-04-30,25.679999999999996,2010-05-28,22.88,,0.13729480280634834
15,77862,0.29639877665180075,2010-04-30,27.36,2010-05-28,25.01,,0.14254663324270492
16,84255,0.9735261116258369,2010-04-30,8.33,2010-05-28,8.35,,0.38282992434855706
17,85314,1.4768398517088113,2010-04-30,5.52,2010-05-28,4.79,,0.6054454431836638
18,85631,0.23858394220613388,2010-04-30,33.99,2010-05-28,29.26,,0.45660881174899864
19,86878,1.046383473723352,2010-04-30,7.750000000000001,2010-05-28,7.565,,0.20192237409546088
20,87184,0.27149218030512434,2010-04-30,29.87,2010-05-28,29.31,,0.6324813771682767
21,87255,0.46286965477928466,2010-04-30,17.52,2010-05-28,9.04,,0.34267315322289765
22,90215,0.09473677909643129,2010-04-30,85.6,2010-05-28,86.53,,0.49174192307281256
23,92182,0.5923648914121712,2010-04-30,13.69,2010-05-28,13.03,,0.5774731407841496
24,92203,0.21556271101773405,2010-04-30,37.62,2010-05-28,40.86,,0.15777478084962912
25,92214,1.1996258593215117,2010-04-30,6.76,2010-05-28,6.11,,0.7159183977365796
26,11781,1.0177386611736028,2010-05-28,3.9800000000000004,2010-06-30,4.46,,0.6967054263565892
27,11976,0.10944608710725934,2010-05-28,37.01,2010-06-30,34.63,,0.35488563220480746
28,25778,0.20002963140908464,2010-05-28,20.25,2010-06-30,18.4,,0.3727206418672502
29,52813,0.44124169037568195,2010-05-28,9.18,2010-06-30,8.85,,0.2640800378715113
30,64961,0.06896266865155722,2010-05-28,59.03999999999999,2010-06-30,57.99,,0.5259535158461247
31,75607,0.2858573737664661,2010-05-28,14.17,2010-06-30,13.88,,0.4241472172351885
32,75828,0.24534230589064418,2010-05-28,16.51,2010-06-30,14.4,,0.45331246739697445
33,78139,0.4945787585540963,2010-05-28,8.19,2010-06-30,7.98,,0.4273113890525979
34,82734,0.5896072092231855,2010-05-28,6.87,2010-06-30,6.45,,0.6862786571250632
35,84255,0.48510191426820104,2010-05-28,8.35,2010-06-30,8.23,,0.38282992434855706
36,85314,0.8456367830422779,2010-05-28,4.79,2010-06-30,4.13,,0.6054454431836638
37,85631,0.13843473973570583,2010-05-28,29.26,2010-06-30,24.36,,0.45660881174899864
38,87179,0.29937921385285454,2010-05-28,13.530000000000001,2010-06-30,14.22,,0.3902335023498549
39,87184,0.138198519436695,2010-05-28,29.309999999999995,2010-06-30,28.94,,0.6324813771682767
40,87255,0.44807538790765894,2010-05-28,9.04,2010-06-30,7.38,,0.34267315322289765
41,87814,0.6796310132868254,2010-05-28,5.96,2010-06-30,5.5,,0.42840822543792845
42,88550,0.25440883381146506,2010-05-28,16.03,2010-06-30,14.69,,0.643893692606743
43,89203,0.10912180426245972,2010-05-28,37.12,2010-06-30,42.96,,0.664427528668119
44,90215,0.04681152124878567,2010-05-28,86.53,2010-06-30,85.82,,0.49174192307281256
45,91463,0.17970711604865464,2010-05-28,22.54,2010-06-30,22.5,,0.6507614610656539
46,92182,0.3108672590109644,2010-05-28,13.030000000000001,2010-06-30,13.68,,0.5774731407841496
47,92214,0.6629457875271507,2010-05-28,6.11,2010-06-30,6.75,,0.7159183977365796
48,92424,0.3810535530566023,2010-05-28,10.63,2010-06-30,9.31,,0.368306069163958
49,92758,0.7418680997615964,2010-05-28,5.46,2010-06-30,5.6,,0.41575317079344415
50,11781,0.7546312779656262,2010-06-30,4.46,2010-07-30,3.85,,0.6967054263565892
51,11976,0.09718899166645632,2010-06-30,34.63,2010-07-30,35.58,,0.35488563220480746
52,13777,0.7284965498105023,2010-06-30,4.62,2010-07-30,5.02,,0.608435428800964
53,25778,0.18291591380999114,2010-06-30,18.4,2010-07-30,19.56,,0.3727206418672502
54,64961,0.05803853947858206,2010-06-30,57.99,2010-07-30,54.92,,0.5259535158461247
55,75607,0.24248228984054518,2010-06-30,13.88,2010-07-30,12.97,,0.4241472172351885
56,75828,0.23372599502112137,2010-06-30,14.4,2010-07-30,15.93,,0.45331246739697445
57,78139,0.4217613352976082,2010-06-30,7.98,2010-07-30,8.18,,0.4273113890525979
58,80179,0.18820739003876794,2010-06-30,18.14,2010-07-30,13.9,,0.579027947167657
59,82734,0.5218067504802816,2010-06-30,6.45,2010-07-30,7.05,,0.6862786571250632
60,83704,0.9755520250191562,2010-06-30,3.45,2010-07-30,3.195,,0.5587576783971525
61,84255,0.4089495387527596,2010-06-30,8.23,2010-07-30,8.96,,0.38282992434855706
62,85314,0.8149282231351975,2010-06-30,4.13,2010-07-30,4.17,,0.6054454431836638
63,85631,0.13816318643507297,2010-06-30,24.36,2010-07-30,29.54,,0.45660881174899864
64,87179,0.23668449129303892,2010-06-30,14.22,2010-07-30,15.85,,0.3902335023498549
65,87184,0.11629764667948107,2010-06-30,28.94,2010-07-30,32.15,,0.6324813771682767
66,87255,0.45605086869406275,2010-06-30,7.38,2010-07-30,8.58,,0.34267315322289765
67,87377,0.1647407878624939,2010-06-30,20.43,2010-07-30,21.9,,0.3364624394092748
68,87814,0.6119372092154239,2010-06-30,5.5,2010-07-30,5.22,,0.42840822543792845
69,88550,0.229111838999728,2010-06-30,14.69,2010-07-30,15.24,,0.643893692606743
70,89203,0.07834393038034929,2010-06-30,42.96,2010-07-30,43.86,,0.664427528668119
71,90215,0.03921761103853502,2010-06-30,85.82,2010-07-30,98.95,,0.49174192307281256
72,91463,0.14958461662120712,2010-06-30,22.5,2010-07-30,18.52,,0.6507614610656539
73,92182,0.24602737714813291,2010-06-30,13.68,2010-07-30,15.5,,0.5774731407841496
74,92214,0.4986154375229394,2010-06-30,6.75,2010-07-30,6.73,,0.7159183977365796
75,92424,0.3615095966665739,2010-06-30,9.31,2010-07-30,10.1,,0.368306069163958
76,92552,0.15031959619509452,2010-06-30,22.39,2010-07-30,25.01,,0.5481148002250985
77,92758,0.6010097756816122,2010-06-30,5.6,2010-07-30,6.48,,0.41575317079344415
78,11781,0.7947889585780145,2010-07-30,3.85,2010-08-31,4.05,,0.6967054263565892
79,11976,0.08600164820747194,2010-07-30,35.58,2010-08-31,36.05,,0.35488563220480746
80,13777,0.6203275116080881,2010-07-30,5.02,2010-08-31,5.09,,0.608435428800964
