,0
arith mean,0.01104471857999549
arith mean (ann),0.13253662295994587
geomean mean,0.008125060688434216
geomean mean (ann),0.10197801579212129
sigma,0.07607634571135463
sigma (ann),0.26353619205248174
avg drawdown,0.1539322412038253
max drawdown,0.6890182758130061
alpha,0.0045515609721627735
alpha SE,0.0028081128485886054
alpha (ann),0.05461873166595328
alpha SE (ann),0.033697354183063265
beta,1.3035183904343477
betaSE,0.0602097739931347
Sharpe ratio,0.1451794046719969
Sharpe ratio (ann),0.5029162102090021
information ratio,0.05982885914936157
information ratio (ann),0.20725324761115266
