,0
arith mean,0.005743887789666907
arith mean (ann),0.06892665347600288
geomean mean,0.004962813467576321
geomean mean (ann),0.06120650341279199
sigma,0.039717117481493244
sigma (ann),0.1375841308162567
avg drawdown,0.09486506259507213
max drawdown,0.39201244217386
alpha,0.002462721575426739
alpha SE,0.0015439676014674763
alpha (ann),0.02955265890512087
alpha SE (ann),0.018527611217609714
beta,0.65870270839791
betaSE,0.03310477368593034
Sharpe ratio,0.1446199561774178
Sharpe ratio (ann),0.5009782237753442
information ratio,0.06200655363708807
information ratio (ann),0.2147970026033626
