,0
arith mean,0.00014094475300842024
arith mean (ann),0.001691337036101043
geomean mean,1.1225439185524877e-05
geomean mean (ann),0.0001347135872296068
sigma,0.016173395431235863
sigma (ann),0.05602628523560573
avg drawdown,0.06463013019701563
max drawdown,0.14973064713400785
alpha,-7.962031584444085e-05
alpha SE,0.0009842409766001323
alpha (ann),-0.0009554437901332902
alpha SE (ann),0.011810891719201588
beta,0.04072590926412048
betaSE,0.0211333453498867
Sharpe ratio,0.008714605019562685
Sharpe ratio (ann),0.030188277323554683
information ratio,-0.004922919011221925
information ratio (ann),-0.017053491697966227
