,0
arith mean,-0.00781961875448471
arith mean (ann),-0.0938354250538165
geomean mean,-0.009738034954892227
geomean mean (ann),-0.11079646054135106
sigma,0.06297848407941675
sigma (ann),0.2181638684184349
avg drawdown,0.661077212497729
max drawdown,0.9672137098383574
alpha,-0.002444060655595586
alpha SE,0.002324415558968377
alpha (ann),-0.029328727867147034
alpha SE (ann),0.027892986707620526
beta,-1.079157362867265
betaSE,0.04983864360791402
Sharpe ratio,-0.12416333719027058
Sharpe ratio (ann),-0.43011441690171
information ratio,-0.03880786734265613
information ratio (ann),-0.13443439594174683
