,0
arith mean,0.009374145175396927
arith mean (ann),0.11248974210476312
geomean mean,0.006416175770925792
geomean mean (ann),0.07977010946404128
sigma,0.07669718270437524
sigma (ann),0.2656868344827417
avg drawdown,0.23503651593350933
max drawdown,0.6848070252711423
alpha,0.0027960000736375647
alpha SE,0.0028069336223853205
alpha (ann),0.033552000883650776
alpha SE (ann),0.03368320346862384
beta,1.3205798523579992
betaSE,0.06018448977308551
Sharpe ratio,0.12222280981987324
Sharpe ratio (ann),0.42339223290369754
information ratio,0.036455055779748544
information ratio (ann),0.12628401760656388
