,0
arith mean,0.011489092406317628
arith mean (ann),0.13786910887581155
geomean mean,0.008342642866296934
geomean mean (ann),0.10483546607228766
sigma,0.07943837415842599
sigma (ann),0.27518260022612073
avg drawdown,0.2340128292275182
max drawdown,0.6848070252711423
alpha,0.004926658520895556
alpha SE,0.0030882614309811424
alpha (ann),0.059119902250746675
alpha SE (ann),0.03705913717177371
beta,1.3174257845425128
betaSE,0.06621654214664019
Sharpe ratio,0.14462899735843834
Sharpe ratio (ann),0.5010095433451203
information ratio,0.062018622272784624
information ratio (ann),0.21483880958377152
