,datetime,nav,cash_position,margin_requirement
0,2000-03-31,100.0,100.0,0.0
0,2000-04-28,100.0,100.0,0.0
0,2000-05-31,99.79999999999998,-0.20000000000001705,50.0
0,2000-06-30,115.12488880000001,-0.230711200000016,57.67780000000001
0,2000-07-31,123.75039084356243,-0.24799677523760977,61.99919380940002
0,2000-08-31,164.93711967450776,-0.3305353099689796,82.63382749223837
0,2000-09-29,167.91703861566702,-0.3365070914142052,84.12677285354061
0,2000-10-31,151.61531667278086,-0.30383830996552774,75.9595774913732
0,2000-11-30,145.81875988574706,-0.29222196369892117,73.05549092472299
0,2000-12-29,120.85852529982411,-0.24220145350666655,60.55036337666539
0,2001-01-31,135.65681758098174,135.6568175809817,136.2016240772909
0,2001-02-28,118.53621500396953,118.5362150039695,119.01226406021038
0,2001-03-30,102.45367574105511,102.45367574105511,102.86513628619991
0,2001-04-30,108.00126907263123,108.00126907263126,108.43500910906752
0,2001-05-31,118.59972161011271,118.59972161011274,119.07602571296457
0,2001-06-29,92.59871919243243,92.5987191924325,92.97060159882776
0,2001-07-31,118.92525732885068,118.92525732885075,119.40286880406694
0,2001-08-31,102.69697438514662,102.69697438514667,103.10941203327974
0,2001-09-28,103.99722077783701,103.99722077783701,104.41488029903311
0,2001-10-31,118.89869135087511,118.89869135087511,119.37619613541675
0,2001-11-30,137.10904317562094,137.10904317562097,137.65968190323386
0,2001-12-31,156.44740535826884,156.44740535826887,157.07570819103296
0,2002-01-31,154.8215569875641,154.82155698756412,155.44333030879932
0,2002-02-28,147.43654272228864,147.43654272228864,148.02865735169536
0,2002-03-28,151.89314971484592,151.89314971484595,152.50316236430314
0,2002-04-30,142.51193836727322,142.51193836727322,143.08427546914982
0,2002-05-31,138.6812501377179,138.68125013771794,139.23820294951597
0,2002-06-28,136.40707429496035,136.40707429496035,136.95489387044208
0,2002-07-31,122.77956374092074,122.77956374092074,123.27265435835413
0,2002-08-30,127.95249147419037,127.95249147419038,128.46635690179758
0,2002-09-30,123.99804739382806,123.99804739382807,124.49603151990772
0,2002-10-31,136.15980233869465,136.15980233869467,136.7066288541111
0,2002-11-29,141.78766295347936,141.78766295347938,142.35709131875439
0,2002-12-31,136.25043015198503,136.250430151985,136.79762063452307
0,2003-01-31,133.23080978693835,133.23080978693838,133.76587328005863
0,2003-02-28,138.27454231019126,138.27454231019126,138.82986175722016
0,2003-03-31,143.53843473750896,143.53843473750896,144.11489431476807
0,2003-04-30,143.16889922489764,143.16889922489764,143.7438747237928
0,2003-05-30,146.28108228015967,146.2810822801597,146.86855650618446
0,2003-06-30,148.9775026563492,148.97750265634917,149.5758058798686
0,2003-07-31,151.10627657122944,151.10627657122944,151.71312908757974
0,2003-08-29,152.9257100770336,152.92571007703364,153.5398695552546
0,2003-09-30,155.36455483895006,155.36455483895006,155.9885088744478
0,2003-10-31,159.57316092812184,159.5731609281218,160.21401699610624
0,2003-11-28,158.5814880315681,158.58148803156814,159.21836147747806
0,2003-12-31,150.20860358093333,150.20860358093333,150.81185098487276
0,2004-01-30,152.64355573138195,152.64355573138198,153.25658205962043
0,2004-02-27,147.2606462221651,147.26064622216512,147.85205443992479
0,2004-03-31,145.02812834164723,145.0281283416472,145.61057062414375
0,2004-04-30,138.24602319039434,138.2460231903943,138.80122810280557
0,2004-05-28,144.11306023785698,144.113060237857,144.69182754804916
0,2004-06-30,141.91754795338792,141.91754795338792,142.48749794516863
0,2004-07-30,137.58625590665244,137.58625590665247,138.13881115125747
0,2004-08-31,131.10769300160223,131.10769300160223,131.63422992128739
0,2004-09-30,133.97048441865883,133.9704844186588,134.50851849262932
0,2004-10-29,141.39889360385482,141.3988936038548,141.96676064644058
0,2004-11-30,141.39339388173894,141.39339388173894,141.9612388370873
0,2004-12-31,137.1537480266384,137.15374802663837,137.70456629180563
0,2005-01-31,133.84423834846,133.84423834845998,134.3817654101004
0,2005-02-28,133.10070956664825,133.10070956664825,133.635250568924
0,2005-03-31,133.32682240755577,133.32682240755577,133.86227149352987
0,2005-04-29,133.35999498227326,133.35999498227324,133.895577291439
0,2005-05-31,137.59248231404732,137.59248231404734,138.1450625643046
0,2005-06-30,131.60116802661037,131.60116802661037,132.12968677370517
0,2005-07-29,127.72993224165225,127.72993224165222,128.24290385708053
