,0
arith mean,0.0004268205076847932
arith mean (ann),0.0051218460922175186
geomean mean,-0.000694338891061963
geomean mean (ann),-0.008300321193071447
sigma,0.048335189084740986
sigma (ann),0.16743800657644
avg drawdown,0.37194522835575883
max drawdown,0.5544014445056401
alpha,-0.0004748678560053336
alpha SE,0.0029026761305465864
alpha (ann),-0.005698414272064003
alpha SE (ann),0.034832113566559034
beta,0.1810162998496884
betaSE,0.06223733988586607
Sharpe ratio,0.008830430081415298
Sharpe ratio (ann),0.030589507107391754
information ratio,-0.00982447498390454
information ratio (ann),-0.034032979659624187
