date,mkt_index,rf_index
20170525,5418.933591,20.22698204
20170526,5422.347519,20.22758885
20170530,5412.207729,20.22819568
20170531,5411.287654,20.22880252
20170601,5462.857225,20.22940939
20170602,5482.141111,20.23001627
20170605,5472.985935,20.23062317
20170606,5457.825764,20.23123009
20170607,5466.176238,20.23183702
20170608,5476.17934,20.23244398
20170609,5469.77221,20.23305095
20170612,5463.919554,20.23365794
20170613,5494.135029,20.23426495
20170614,5484.959824,20.23487198
20170615,5468.669493,20.23547903
20170616,5467.192952,20.23608609
20170619,5514.374827,20.23669318
20170620,5474.285322,20.23730028
20170621,5470.617551,20.2379074
20170622,5471.875793,20.23851453
20170623,5485.172451,20.23912169
20170626,5487.531076,20.23972886
20170627,5441.051687,20.24033605
20170628,5496.713646,20.24094326
20170629,5451.255824,20.24155049
20170630,5459.05112,20.24215774
20170703,5472.371205,20.24296742
20170705,5479.156945,20.24377714
20170706,5427.32412,20.24458689
20170707,5465.532482,20.24539668
20170710,5468.48387,20.24620649
20170711,5468.702609,20.24701634
20170712,5508.296016,20.24782622
20170713,5517.880451,20.24863614
20170714,5541.276264,20.24944608
20170717,5541.497915,20.25025606
20170718,5543.936174,20.25106607
20170719,5576.867155,20.25187611
20170720,5576.532543,20.25268619
20170721,5572.294379,20.25349629
20170724,5570.845582,20.25430643
20170725,5592.237629,20.25511661
20170726,5589.105976,20.25592681
20170727,5581.504792,20.25673705
20170728,5572.239494,20.25754732
20170731,5566.33292,20.25835762
20170801,5579.914772,20.25916795
20170802,5575.674037,20.25997832
20170803,5564.188149,20.26078872
20170804,5578.321186,20.26159915
20170807,5587.469633,20.26240962
20170808,5574.283205,20.26322011
20170809,5566.70218,20.26403064
20170810,5483.980985,20.2648412
20170811,5494.619908,20.2656518
20170814,5551.434278,20.26646242
20170815,5545.549758,20.26727308
20170816,5555.75357,20.26808377
20170817,5467.083743,20.26889449
20170818,5459.1018,20.26970525
20170821,5462.595625,20.27051604
20170822,5520.717643,20.27132686
20170823,5502.720103,20.27213771
20170824,5495.236404,20.2729486
20170825,5505.347639,20.27375952
20170828,5509.972131,20.27457047
20170829,5515.702502,20.27538145
20170830,5545.156353,20.27619246
20170831,5579.758129,20.27700351
20170901,5595.102464,20.27801736
20170905,5550.061889,20.27903126
20170906,5565.879565,20.28004521
20170907,5562.261744,20.28105922
20170908,5553.640238,20.28207327
20170911,5613.897235,20.28308737
20170912,5638.879077,20.28410153
20170913,5645.363788,20.28511573
20170914,5638.87162,20.28612999
20170915,5649.86742,20.28714429
20170918,5663.709595,20.28815865
20170919,5672.488345,20.28917306
20170920,5681.84795,20.29018752
20170921,5666.222869,20.29120203
20170922,5673.305647,20.29221659
20170925,5659.406048,20.2932312
20170926,5662.518722,20.29424586
20170927,5698.475715,20.29526057
20170928,5706.168658,20.29627534
20170929,5726.425556,20.29729015
20171002,5755.286741,20.29810204
20171003,5770.480698,20.29891397
20171004,5773.596758,20.29972592
20171005,5805.582484,20.30053791
20171006,5801.170241,20.30134993
20171009,5788.639713,20.30216199
20171010,5802.763994,20.30297407
20171011,5812.280527,20.30378619
20171012,5802.050914,20.30459834
20171013,5804.603816,20.30541053
20171016,5814.703827,20.30622274
20171017,5815.517885,20.30703499
20171018,5823.892231,20.30784727
20171019,5825.289965,20.30865959
20171020,5858.727129,20.30947193
20171023,5832.597206,20.31028431
20171024,5844.495705,20.31109672
20171025,5814.922556,20.31190917
20171026,5826.784998,20.31272164
20171027,5874.797707,20.31353415
20171030,5848.008629,20.31434669
20171031,5861.69297,20.31515927
20171101,5864.858284,20.31597188
20171102,5868.611793,20.31678451
20171103,5887.039234,20.31759719
20171106,5890.806939,20.31840989
20171107,5879.260958,20.31922263
20171108,5886.551241,20.32003539
20171109,5862.651843,20.3208482
20171110,5863.472614,20.32166103
20171113,5868.984279,20.3224739
20171114,5856.307273,20.3232868
20171115,5826.088727,20.32409973
20171116,5885.165267,20.32491269
20171117,5877.161442,20.32572569
20171120,5889.738567,20.32653872
20171121,5929.435405,20.32735178
20171122,5926.707865,20.32816487
20171124,5939.39102,20.328978
20171127,5936.064961,20.32979116
20171128,5999.224692,20.33060435
20171129,6000.664506,20.33141757
20171130,6050.109982,20.33223083
20171201,6037.041744,20.33304412
20171204,6031.246184,20.33385744
20171205,6005.553075,20.3346708
20171206,6000.3883,20.33548418
20171207,6025.829946,20.3362976
20171208,6056.802712,20.33711105
20171211,6072.792671,20.33792454
20171212,6077.286538,20.33873805
20171213,6078.745086,20.3395516
20171214,6050.418134,20.34036519
20171215,6106.323998,20.3411788
20171218,6147.480622,20.34199245
20171219,6129.284079,20.34280613
20171220,6130.142179,20.34361984
20171221,6145.099726,20.34443359
20171222,6141.04396,20.34524736
20171226,6136.990871,20.34606117
20171227,6140.304846,20.34687501
20171228,6154.059129,20.34768889
20171229,6119.227154,20.3485028
20180102,6171.607739,20.34972371
20180103,6208.390521,20.35094469
20180104,6234.838264,20.35216575
20180105,6276.362287,20.35338688
20180108,6288.663957,20.35460808
20180109,6298.474273,20.35582936
20180110,6294.443249,20.35705071
20180111,6349.582572,20.35827213
20180112,6391.870792,20.35949363
20180116,6360.934138,20.3607152
20180117,6421.744668,20.36193684
20180118,6410.570832,20.36315856
20180119,6447.49572,20.36438034
20180122,6497.528287,20.36560221
20180123,6512.212701,20.36682414
20180124,6504.137557,20.36804615
20180125,6509.080702,20.36926824
20180126,6581.722042,20.37049039
20180129,6541.310269,20.37171262
20180130,6472.364859,20.37293492
20180131,6468.222545,20.3741573
20180201,6470.551105,20.37537975
20180202,6333.1166,20.37660227
20180205,6078.271988,20.37782487
20180206,6180.143826,20.37904754
20180207,6157.030089,20.38027028
20180208,5930.820803,20.3814931
20180209,6011.835815,20.38271599
20180212,6093.957492,20.38393895
20180213,6113.214398,20.38516199
20180214,6206.50205,20.3863851
20180215,6281.973115,20.38760828
20180216,6284.234625,20.38883154
20180220,6245.649425,20.39005487
20180221,6219.167871,20.39127827
20180222,6220.162938,20.39250175
20180223,6316.326657,20.3937253
20180226,6387.448495,20.39494892
20180227,6307.988636,20.39617262
20180228,6238.97924,20.39739639
20180301,6165.047336,20.39841626
20180302,6208.51092,20.39943618
20180305,6274.631561,20.40045615
20180306,6297.533966,20.40147617
20180307,6300.99761,20.40249625
20180308,6324.626351,20.40351637
20180309,6432.46123,20.40453655
20180312,6426.993638,20.40555677
20180313,6384.254131,20.40657705
20180314,6350.736796,20.40759738
20180315,6339.623007,20.40861776
20180316,6355.789046,20.40963819
20180319,6268.396946,20.41065867
20180320,6278.112962,20.4116792
20180321,6274.659999,20.41269979
20180322,6115.597368,20.41372042
20180323,5988.087163,20.41474111
20180326,6148.268495,20.41576185
20180327,6033.603287,20.41678264
20180328,6012.787356,20.41780347
20180329,6097.868297,20.41882436
20180402,5958.653964,20.42025368
20180403,6032.958379,20.4216831
20180404,6103.966299,20.42311262
20180405,6150.173324,20.42454224
20180406,6015.91504,20.42597195
20180409,6034.383899,20.42740177
20180410,6141.614901,20.42883169
20180411,6111.950901,20.43026171
20180412,6163.719125,20.43169183
20180413,6141.344825,20.43312204
20180416,6192.133747,20.43455236
20180417,6260.061454,20.43598278
20180418,6268.637738,20.4374133
20180419,6238.360218,20.43884392
20180420,6188.266185,20.44027464
20180423,6185.605231,20.44170546
20180424,6105.625355,20.44313638
20180425,6112.158374,20.4445674
20180426,6171.262946,20.44599852
20180427,6172.312061,20.44742974
20180430,6123.365626,20.44886106
20180501,6138.429105,20.45008799
20180502,6100.125308,20.45131499
20180503,6085.241002,20.45254207
20180504,6164.714249,20.45376922
20180507,6190.975932,20.45499645
20180508,6195.681074,20.45622375
20180509,6251.194376,20.45745112
20180510,6304.7046,20.45867857
20180511,6317.061821,20.45990609
20180514,6320.599376,20.46113369
20180515,6286.215315,20.46236135
20180516,6317.394943,20.4635891
20180517,6319.037466,20.46481691
20180518,6304.882822,20.4660448
20180521,6350.656271,20.46727276
20180522,6324.364554,20.4685008
20180523,6343.084673,20.46972891
20180524,6333.316323,20.47095709
20180525,6320.396358,20.47218535
20180529,6255.043459,20.47341368
20180530,6337.359831,20.47464209
20180531,6293.378554,20.47587057
20180601,6360.465969,20.47709912
20180604,6391.377834,20.47832774
20180605,6402.626659,20.47955644
20180606,6458.073406,20.48078522
20180607,6449.419587,20.48201406
20180608,6469.799753,20.48324298
20180611,6477.951701,20.48447198
20180612,6493.239667,20.48570105
20180613,6472.201571,20.48693019
20180614,6490.064847,20.48815941
20180615,6485.262199,20.48938869
20180618,6479.814579,20.49061806
20180619,6455.580072,20.4918475
20180620,6470.815241,20.49307701
20180621,6423.966539,20.49430659
20180622,6431.41834,20.49553625
20180625,6336.619234,20.49676598
20180626,6354.108303,20.49799579
20180627,6289.677645,20.49922567
20180628,6326.535155,20.50045562
20180629,6331.343322,20.50168565
20180702,6354.642666,20.50332578
20180703,6327.190609,20.50496605
20180705,6382.743343,20.50660645
20180706,6439.422104,20.50824697
20180709,6499.823883,20.50988763
20180710,6513.993499,20.51152843
20180711,6469.568063,20.51316935
20180712,6525.723914,20.5148104
20180713,6531.466551,20.51645159
20180716,6521.538722,20.5180929
20180717,6553.363831,20.51973435
20180718,6571.582183,20.52137593
20180719,6549.76453,20.52301764
20180720,6543.738746,20.52465948
20180723,6554.077854,20.52630145
20180724,6569.021151,20.52794356
20180725,6624.069548,20.52958579
20180726,6611.351335,20.53122816
20180727,6557.667162,20.53287066
20180730,6512.288105,20.53451329
20180731,6546.021758,20.53615605
20180801,6537.970151,20.53759358
20180802,6582.232209,20.53903121
20180803,6603.097885,20.54046894
20180806,6633.934352,20.54190678
20180807,6653.637137,20.54334471
20180808,6651.441437,20.54478274
20180809,6648.581317,20.54622088
20180810,6609.15523,20.54765911
20180813,6579.215757,20.54909745
20180814,6625.07289,20.55053589
20180815,6565.248482,20.55197442
20180816,6622.169186,20.55341306
20180817,6642.499246,20.5548518
20180820,6659.570469,20.55629064
20180821,6682.013221,20.55772958
20180822,6685.821969,20.55916862
20180823,6673.586915,20.56060776
20180824,6715.430305,20.56204701
20180827,6765.594569,20.56348635
20180828,6765.391601,20.56492579
20180829,6803.751372,20.56636534
20180830,6776.332254,20.56780498
20180831,6782.227663,20.56924473
20180904,6775.30979,20.57089027
20180905,6748.073045,20.57253594
20180906,6718.92137,20.57418174
20180907,6707.364825,20.57582768
20180910,6723.328353,20.57747374
20180911,6748.742534,20.57911994
20180912,6751.307056,20.58076627
20180913,6782.228043,20.58241273
20180914,6790.909295,20.58405933
20180917,6743.237111,20.58570605
20180918,6782.213022,20.58735291
20180919,6786.824927,20.5889999
20180920,6839.626425,20.59064702
20180921,6831.28208,20.59229427
20180924,6810.651609,20.59394165
20180925,6807.791135,20.59558917
20180926,6781.104594,20.59723681
20180927,6799.956064,20.59888459
20180928,6798.460074,20.6005325
20181001,6809.881487,20.60218055
20181002,6796.125526,20.60382872
20181003,6810.261467,20.60547703
20181004,6747.470857,20.60712546
20181005,6704.826841,20.60877403
20181008,6693.965021,20.61042274
20181009,6682.451402,20.61207157
20181010,6460.460366,20.61372054
20181011,6334.35218,20.61536963
20181012,6422.272988,20.61701886
