PERMNO,date,SICCD,TICKER,ACPERM,NWPERM,RET
84398,2000-01-31,6726,SPY,,,-0.049362
84398,2000-02-29,6726,SPY,,,-0.015667
84398,2000-03-31,6726,SPY,,,0.096832
84398,2000-04-28,6726,SPY,,,-0.035121
84398,2000-05-31,6726,SPY,,,-0.015723
84398,2000-06-30,6726,SPY,,,0.019726
84398,2000-07-31,6726,SPY,,,-0.016348
84398,2000-08-31,6726,SPY,,,0.066040
84398,2000-09-29,6726,SPY,,,-0.054767
84398,2000-10-31,6726,SPY,,,-0.004678
84398,2000-11-30,6726,SPY,,,-0.074653
84398,2000-12-29,6726,SPY,,,-0.005159
84398,2001-01-31,6726,SPY,,,0.044459
84398,2001-02-28,6726,SPY,,,-0.095388
84398,2001-03-30,6726,SPY,,,-0.056026
84398,2001-04-30,6726,SPY,,,0.070443
84398,2001-05-31,6726,SPY,,,0.008326
84398,2001-06-29,6726,SPY,,,-0.023847
84398,2001-07-31,6726,SPY,,,-0.010196
84398,2001-08-31,6726,SPY,,,-0.059332
84398,2001-09-28,6726,SPY,,,-0.081831
84398,2001-10-31,6726,SPY,,,0.013022
84398,2001-11-30,6726,SPY,,,0.077977
84398,2001-12-31,6726,SPY,,,0.005636
84398,2002-01-31,6726,SPY,,,-0.009799
84398,2002-02-28,6726,SPY,,,-0.017936
84398,2002-03-28,6726,SPY,,,0.033297
84398,2002-04-30,6726,SPY,,,-0.058156
84398,2002-05-31,6726,SPY,,,-0.005934
84398,2002-06-28,6726,SPY,,,-0.073742
84398,2002-07-31,6726,SPY,,,-0.078820
84398,2002-08-30,6726,SPY,,,0.006801
84398,2002-09-30,6726,SPY,,,-0.104728
84398,2002-10-31,6726,SPY,,,0.082284
84398,2002-11-29,6726,SPY,,,0.061681
84398,2002-12-31,6726,SPY,,,-0.056546
84398,2003-01-31,6726,SPY,,,-0.024595
84398,2003-02-28,6726,SPY,,,-0.013479
84398,2003-03-31,6726,SPY,,,0.002289
84398,2003-04-30,6726,SPY,,,0.084612
84398,2003-05-30,6726,SPY,,,0.054836
84398,2003-06-30,6726,SPY,,,0.010730
84398,2003-07-31,6726,SPY,,,0.018027
84398,2003-08-29,6726,SPY,,,0.020626
84398,2003-09-30,6726,SPY,,,-0.010745
84398,2003-10-31,6726,SPY,,,0.053527
84398,2003-11-28,6726,SPY,,,0.010921
84398,2003-12-31,6726,SPY,,,0.050217
84398,2004-01-30,6726,SPY,,,0.019770
84398,2004-02-27,6726,SPY,,,0.013571
84398,2004-03-31,6726,SPY,,,-0.013261
84398,2004-04-30,6726,SPY,,,-0.018921
84398,2004-05-28,6726,SPY,,,0.017123
84398,2004-06-30,6726,SPY,,,0.018463
84398,2004-07-30,6726,SPY,,,-0.032219
84398,2004-08-31,6726,SPY,,,0.002436
84398,2004-09-30,6726,SPY,,,0.010069
84398,2004-10-29,6726,SPY,,,0.012885
84398,2004-11-30,6726,SPY,,,0.044532
84398,2004-12-31,6726,SPY,,,0.030095
84398,2005-01-31,6726,SPY,,,-0.022421
84398,2005-02-28,6726,SPY,,,0.020904
84398,2005-03-31,6726,SPY,,,-0.018262
84398,2005-04-29,6726,SPY,,,-0.018735
84398,2005-05-31,6726,SPY,,,0.032225
84398,2005-06-30,6726,SPY,,,0.001570
84398,2005-07-29,6726,SPY,,,0.038261
84398,2005-08-31,6726,SPY,,,-0.009374
84398,2005-09-30,6726,SPY,,,0.008009
84398,2005-10-31,6726,SPY,,,-0.023651
84398,2005-11-30,6726,SPY,,,0.043952
84398,2005-12-30,6726,SPY,,,-0.001821
84398,2006-01-31,6726,SPY,,,0.024014
84398,2006-02-28,6726,SPY,,,0.005725
84398,2006-03-31,6726,SPY,,,0.016529
84398,2006-04-28,6726,SPY,,,0.012632
84398,2006-05-31,6726,SPY,,,-0.030121
84398,2006-06-30,6726,SPY,,,0.002160
84398,2006-07-31,6726,SPY,,,0.004873
84398,2006-08-31,6726,SPY,,,0.021822
84398,2006-09-29,6726,SPY,,,0.026939
84398,2006-10-31,6726,SPY,,,0.031517
84398,2006-11-30,6726,SPY,,,0.019885
84398,2006-12-29,6726,SPY,,,0.013397
84398,2007-01-31,6726,SPY,,,0.015040
84398,2007-02-28,6726,SPY,,,-0.019617
84398,2007-03-30,6726,SPY,,,0.011504
84398,2007-04-30,6726,SPY,,,0.044296
84398,2007-05-31,6726,SPY,,,0.033920
84398,2007-06-29,6726,SPY,,,-0.014574
84398,2007-07-31,6726,SPY,,,-0.031310
84398,2007-08-31,6726,SPY,,,0.012833
84398,2007-09-28,6726,SPY,,,0.038680
84398,2007-10-31,6726,SPY,,,0.013567
84398,2007-11-30,6726,SPY,,,-0.038733
84398,2007-12-31,6726,SPY,,,-0.011265
84398,2008-01-31,6726,SPY,,,-0.060461
84398,2008-02-29,6726,SPY,,,-0.025843
84398,2008-03-31,6726,SPY,,,-0.009027
84398,2008-04-30,6726,SPY,,,0.047662
84398,2008-05-30,6726,SPY,,,0.015117
84398,2008-06-30,6726,SPY,,,-0.083369
84398,2008-07-31,6726,SPY,,,-0.008986
84398,2008-08-29,6726,SPY,,,0.015454
84398,2008-09-30,6726,SPY,,,-0.094022
84398,2008-10-31,6726,SPY,,,-0.165187
84398,2008-11-28,6726,SPY,,,-0.069607
84398,2008-12-31,6726,SPY,,,0.009650
84398,2009-01-30,6726,SPY,,,-0.082114
84398,2009-02-27,6726,SPY,,,-0.107449
84398,2009-03-31,6726,SPY,,,0.083206
84398,2009-04-30,6726,SPY,,,0.099346
84398,2009-05-29,6726,SPY,,,0.058453
84398,2009-06-30,6726,SPY,,,-0.000668
84398,2009-07-31,6726,SPY,,,0.074606
84398,2009-08-31,6726,SPY,,,0.036940
84398,2009-09-30,6726,SPY,,,0.035510
84398,2009-10-30,6726,SPY,,,-0.019225
84398,2009-11-30,6726,SPY,,,0.061607
84398,2009-12-31,6726,SPY,,,0.019012
84398,2010-01-29,6726,SPY,,,-0.036342
84398,2010-02-26,6726,SPY,,,0.031195
84398,2010-03-31,6726,SPY,,,0.060867
84398,2010-04-30,6726,SPY,,,0.015491
84398,2010-05-28,6726,SPY,,,-0.079482
84398,2010-06-30,6726,SPY,,,-0.051365
84398,2010-07-30,6726,SPY,,,0.068301
