,datetime,nav,cash_position,margin_requirement
0,1970-03-31,100.0,100.0,0.0
0,1970-04-30,100.0,100.0,0.0
0,1970-05-29,100.0,100.0,0.0
0,1970-06-30,100.0,100.0,0.0
0,1970-07-31,100.0,100.0,0.0
0,1970-08-31,100.0,100.0,0.0
0,1970-09-30,100.0,100.0,0.0
0,1970-10-30,100.0,100.0,0.0
0,1970-11-30,100.0,100.0,0.0
0,1970-12-31,100.0,100.0,0.0
0,1971-01-29,100.0,100.0,0.0
0,1971-02-26,100.0,100.0,0.0
0,1971-03-31,100.0,100.0,0.0
0,1971-04-30,100.0,100.0,0.0
0,1971-05-28,100.0,100.0,0.0
0,1971-06-30,100.0,100.0,0.0
0,1971-07-30,100.0,100.0,0.0
0,1971-08-31,100.0,100.0,0.0
0,1971-09-30,100.0,100.0,0.0
0,1971-10-29,100.0,100.0,0.0
0,1971-11-30,100.0,100.0,0.0
0,1971-12-31,100.0,100.0,0.0
0,1972-01-31,100.0,100.0,0.0
0,1972-02-29,100.0,100.0,0.0
0,1972-03-30,100.0,100.0,0.0
0,1972-04-28,100.0,100.0,0.0
0,1972-05-31,100.0,100.0,0.0
0,1972-06-30,100.0,100.0,0.0
0,1972-07-31,100.0,100.0,0.0
0,1972-08-31,100.0,100.0,0.0
0,1972-09-29,100.0,100.0,0.0
0,1972-10-31,100.0,100.0,0.0
0,1972-11-30,100.0,100.0,0.0
0,1972-12-29,100.0,100.0,0.0
0,1973-01-31,100.0,100.0,0.0
0,1973-02-28,100.0,100.0,0.0
0,1973-03-30,100.0,100.0,0.0
0,1973-04-30,100.0,100.0,0.0
0,1973-05-31,100.0,100.0,0.0
0,1973-06-29,100.0,100.0,0.0
0,1973-07-31,100.0,100.0,0.0
0,1973-08-31,100.0,100.0,0.0
0,1973-09-28,100.0,100.0,0.0
0,1973-10-31,100.0,100.0,0.0
0,1973-11-30,100.0,100.0,0.0
0,1973-12-31,100.0,100.0,0.0
0,1974-01-31,100.0,100.0,0.0
