,0
arith mean,0.0046870286148890435
arith mean (ann),0.05624434337866852
geomean mean,0.003955794719934236
geomean mean (ann),0.04851606553567489
sigma,0.038348455290641084
sigma (ann),0.13284294591034773
avg drawdown,0.09535233138943666
max drawdown,0.39201244217386
alpha,0.0013979702118511
alpha SE,0.0014034637103176092
alpha (ann),0.0167756425422132
alpha SE (ann),0.01684156452381131
beta,0.6602870859627283
betaSE,0.03009217839954739
Sharpe ratio,0.12222209680588907
Sharpe ratio (ann),0.4233897629508034
information ratio,0.03645440738762361
information ratio (ann),0.12628177151035663
