,0
arith mean,0.012360919915089889
arith mean (ann),0.14833103898107866
geomean mean,0.009318863380814557
geomean mean (ann),0.11773970751298357
sigma,0.07801859146923386
sigma (ann),0.27026432871934564
avg drawdown,0.12498101646771939
max drawdown,0.6779220798400473
alpha,0.005607450406198604
alpha SE,0.0028076854614485806
alpha (ann),0.06728940487438326
alpha SE (ann),0.033692225537382964
beta,1.3557766861315668
betaSE,0.06020061022924914
Sharpe ratio,0.1584355687831706
Sharpe ratio (ann),0.5488369097170501
information ratio,0.07187325867591274
information ratio (ann),0.248976271464443
