,0
arith mean,0.003243149544510268
arith mean (ann),0.038917794534123216
geomean mean,0.0027798814177992792
geomean mean (ann),0.03387336367650806
sigma,0.03174181962058613
sigma (ann),0.10995688861508367
avg drawdown,0.020477643107130745
max drawdown,0.21644353031026586
alpha,0.0029580547068001634
alpha SE,0.0019289125303481522
alpha (ann),0.03549665648160196
alpha SE (ann),0.023146950364177826
beta,0.05723353511775606
betaSE,0.04135851860909398
Sharpe ratio,0.10217276713421074
Sharpe ratio (ann),0.35393684765271316
information ratio,0.0931910880396321
information ratio (ann),0.32282339859453424
