,quantity,open_average_price,close_datetime,close_average_price,drc,security_id,open_datetime,dr
0,-0.1512515508955876,18.85222,2002-02-28,16.35,,10092,2002-01-31,0.0038368735413947235
1,-0.06264288933238911,45.51878,2002-02-28,44.38,,10324,2002-01-31,0.0017917201995550861
2,0.12476614660507278,22.9458,2002-02-28,16.39,,11531,2002-01-31,0.3611998042277484
3,-0.13082160625444209,21.79632,2002-02-28,24.12,,21207,2002-01-31,0.0004060403333397784
4,-0.2164503105590062,13.173599999999999,2002-02-28,13.8,,39731,2002-01-31,0.004267482032259895
5,-0.21579636803874092,13.213520000000003,2002-02-28,11.8,,45225,2002-01-31,0.006876973348191484
6,0.11373975578695034,25.17024,2002-02-28,19.07,,75577,2002-01-31,0.5983347305073969
7,-0.16060384024577573,17.75442,2002-02-28,18.6,,75649,2002-01-31,0.0015033631939493505
8,0.1825649455892568,15.6813,2002-02-28,12.34,,75684,2002-01-31,0.4402090685132166
9,-0.12755102040816327,22.3552,2002-02-28,15.54,,75696,2002-01-31,0.0001800139510812088
10,-0.18996958837772396,15.00992,2002-02-28,14.75,,76209,2002-01-31,0.006044862184521234
11,-0.19022263736263736,14.98996,2002-02-28,13.0,,76230,2002-01-31,0.0038019835816963683
12,-0.043567311933349666,65.44884,2002-02-28,58.3,,76625,2002-01-31,0.000832024039840219
13,0.15776611059361503,18.14622,2002-02-28,16.87,,76792,2002-01-31,0.4716245561023478
14,-0.12835322711315153,22.215480000000003,2002-02-28,15.87,,77292,2002-01-31,0.0005832434166399347
15,-0.20408168921148134,13.972,2002-02-28,21.65,,77929,2002-01-31,0.005979483240989633
16,0.08793916162956412,32.55498,2002-02-28,29.07,,78083,2002-01-31,0.42812570275033596
17,0.13508947494223567,21.1923,2002-02-28,17.93,,79467,2002-01-31,0.510629365291401
18,-0.11914687657008875,23.93204,2002-02-28,25.59,,79502,2002-01-31,0.007598650927487353
19,0.14880944240944238,19.2384,2002-02-28,17.55,,79528,2002-01-31,0.3987229364005413
20,-0.10156920077972711,28.073739999999997,2002-02-28,20.52,,79977,2002-01-31,0.004581288433852296
