,0
arith mean,0.000281889
arith mean (ann),0.34%
geomean mean,-0.000235373
geomean mean (ann),-0.28%
sigma,0.032346791
sigma (ann),11.21%
avg drawdown,13.08%
max drawdown,29.29%
alpha,-0.000159241
alpha SE,0.20%
alpha (ann),-0.19%
alpha SE (ann),0.023621783
beta,8.15%
betaSE,0.042266691
Sharpe ratio,0.00871459
Sharpe ratio (ann),0.030188225
information ratio,-0.004922937
information ratio (ann),-0.017053553
