,0
arith mean,0.013251477912249404
arith mean (ann),0.15901773494699284
geomean mean,0.011708320849032505
geomean mean (ann),0.14991003146059767
sigma,0.055827422909875274
sigma (ann),0.1933918658710774
avg drawdown,0.0515870722487009
max drawdown,0.36578641128730294
alpha,0.0025627491213331545
alpha SE,0.002280192725758051
alpha (ann),0.030752989455997852
alpha SE (ann),0.027362312709096615
beta,1.0902370372820647
betaSE,0.050102036197978574
Sharpe ratio,0.23736502997177322
Sharpe ratio (ann),0.8222565837024413
information ratio,0.045904843672800656
information ratio (ann),0.1590190431095949
